TSNE1,TSNE2
13.158386,-1.1594754
15.189846,0.22919953
18.177467,-2.6399374
8.438209,-6.725539
22.180027,-2.7076066
12.8951,-0.1606304
9.530001,-6.060228
15.235621,1.6762749
20.000557,-8.018926
3.3967154,-4.3593507
3.2177038,0.20606445
5.6598167,-4.2930617
4.5807695,-3.0064929
-6.419497,2.4235995
13.685304,3.5353067
21.095371,1.4006857
3.1833131,5.8892674
4.307963,0.5455977
1.6348758,0.9026737
6.86585,1.9131114
6.5861325,0.30752888
8.662083,-5.811594
17.95623,-6.751002
-11.880256,-1.8257062
22.338594,-5.0528727
6.2633185,-1.7202966
21.457222,-2.0212379
1.1425638,4.3601
9.53238,-7.555483
14.721553,-1.9136626
0.4615512,2.320546
8.852424,-3.0058157
16.142677,-7.0065866
4.6761875,-1.118021
12.356019,-7.310167
4.0999603,-5.663883
2.1525884,-4.012938
5.142325,-0.026010912
-0.7072379,2.0375216
15.846481,-7.860936
5.328691,-2.7220345
8.345134,-3.1897082
15.125003,-7.1378207
12.883032,-7.733984
7.5927253,-4.1627755
1.8162502,2.6527054
20.91697,-3.4419174
15.158579,1.8188268
17.232557,-7.2803307
13.85305,-2.1345623
7.4139867,0.18002215
18.374422,1.1244371
10.852355,-5.9461937
1.3129098,-0.5084387
4.6854043,-5.662277
16.67705,-4.305475
-2.8335156,-0.80755675
6.6862926,-2.417117
1.2432748,0.27239215
17.614382,-4.1065955
2.4868314,-2.2474635
-7.7351565,17.7548
-11.711219,10.596769
-8.344326,16.590364
-9.360155,14.2797365
-5.6084604,2.8491971
-6.137951,4.081146
-6.984605,10.424202
-8.596092,9.790958
-2.4536057,12.944442
-9.270807,-3.584121
-2.565351,-2.4024746
-3.890341,3.058628
-5.746784,12.897943
-7.628365,3.0719323
2.096092,-0.5480977
-7.0886836,12.17488
-3.150477,14.964319
-19.702438,-3.3718505
-5.262844,1.1436667
-9.685879,13.171962
-5.2150326,7.3143353
-6.5189056,10.835386
-8.571516,12.95106
-8.741575,17.229282
-8.44023,13.506829
-9.396093,15.753651
-5.5480547,15.205045
-7.1827884,15.337353
-8.472476,6.384213
-8.235405,10.913613
-6.3550344,14.738137
-7.138662,12.791823
-8.144932,14.454791
-6.2027698,4.085896
-7.3917866,16.685886
-4.1699266,13.573532
-10.535946,13.610081
-5.2961707,16.192236
-5.998464,9.149325
-7.768381,5.822926
-12.933697,-1.3193785
2.871751,1.3131068
-7.5797734,9.742752
-10.368848,0.84629786
-1.3528295,-1.5785805
-2.268264,9.153524
-3.315541,10.012502
-6.2554936,13.990624
-8.27575,0.51986504
-3.0452595,8.265998
-3.6560776,10.423823
-7.1621933,16.541248
-0.0048336415,7.637071
-3.52926,3.6910915
-4.8547144,3.5361722
4.920638,1.1711907
-10.796057,6.0596886
-8.91185,1.9056842
-7.0121245,2.694906
-9.861433,15.499962
-1.7310301,9.734309
-3.9268966,12.477326
-10.010619,3.438944
-0.9347337,6.6743913
-6.9614725,8.5659
0.668967,7.3490124
-8.439595,-0.15766534
-9.312759,12.4737215
-8.206182,11.897979
1.555358,4.096493
-2.2265131,10.527764
-5.0491533,9.740005
-7.471982,13.487869
-10.644951,10.633532
-0.014042535,7.582039
-5.031483,14.100411
-7.078778,7.0794554
-8.778643,-3.5728467
-5.859439,11.602496
19.12673,-8.519248
23.988476,-0.8886216
17.975374,-11.052369
17.701767,-0.7225375
18.103535,0.8042916
-10.899362,-0.9907901
2.0451665,-5.314368
14.726718,-2.6110501
18.307936,-8.649138
5.0252175,0.1430093
4.277503,-5.054372
19.032957,-0.65951616
22.895088,-1.8960414
19.192066,-4.6920114
11.587944,-7.5445666
17.653429,-10.158641
18.75545,-7.2116795
19.848064,-8.679574
17.949772,-5.4205604
16.55872,0.77379715
16.703289,-1.7914279
19.507847,-1.7721119
-3.2902515,-2.9907541
23.922077,-2.5156748
20.206532,-2.0552523
19.609116,-9.32711
12.875693,-9.473755
19.107939,-4.6863327
2.8595147,-5.7735095
2.7801871,-0.99223727
15.447486,-9.64178
4.774102,-6.5813394
24.24405,-1.7504847
-0.5346328,3.2197478
20.835228,-3.9948199
8.3478365,-7.0007825
23.270832,-2.316197
17.970436,-1.1300324
13.178013,-10.586279
19.138401,0.79559475
13.817592,-1.1956143
13.685608,2.9043863
22.677734,-0.8836255
14.982086,-9.500596
5.7548823,-1.040635
17.965271,-10.045134
22.016016,-1.4806077
21.13466,-7.9547324
24.759672,-3.251077
3.8102777,-0.19049607
-9.62352,2.258867
-12.887943,4.229388
4.867455,2.516847
-8.8720875,-0.6106722
4.116845,1.4841442
-10.205259,4.28094
-11.629288,1.9451809
-3.0715032,5.081613
-10.79407,0.5062982
-12.494398,-3.6665466
-9.65865,11.835878
-13.215715,-1.8609478
-9.71967,-2.062333
-10.859678,1.8585355
-8.997878,4.201283
-5.443166,-0.89245826
-6.2435,-1.1805501
-9.194798,-0.17422798
-5.504501,6.54144
-9.284759,-1.3288151
-3.0817392,-0.1745837
-3.0397243,5.503406
-6.9689827,-2.8714902
-8.8207445,3.5733156
-2.1348238,-0.20248258
-8.469736,7.4671755
-6.898181,5.438884
-5.0676785,11.788703
-12.068945,0.9963269
-8.044327,4.706697
-12.101675,-0.367221
-10.637352,3.983528
-11.915998,-3.0218394
-6.090918,6.095876
-4.231166,8.24583
-12.748559,-3.0722497
-10.721918,2.8376362
-12.378956,-1.6895561
-15.412199,1.6855538
-11.743172,3.5610628
-18.597198,-0.99452764
-18.830961,-0.096182115
-18.139091,1.8499268
-16.726896,-1.2519008
-17.715631,-5.6701317
-16.03454,-4.7873797
-17.142809,-1.4353126
-18.344229,-2.6059945
-17.243265,1.5041406
-19.073284,-1.9544517
-21.11123,-1.5242983
-16.677618,-4.165087
-14.64739,-3.2379472
