Dim_1,Dim_2
3.6060038,7.885392
2.3362718,6.862204
1.8207147,6.5038943
3.1629014,6.176817
1.0082008,6.3240094
3.515014,8.054862
3.3575666,5.8634048
2.4925454,6.715707
2.189756,8.092518
4.4561725,5.0924897
5.365134,5.5568357
4.0433807,5.4910793
4.5369015,5.5295076
6.7192373,4.4401746
1.6654465,6.451625
1.4861917,6.701382
5.0234184,4.218477
5.5374556,5.958962
5.1821346,5.302122
5.356917,6.213696
5.6466103,5.868067
3.5686924,6.040487
2.4548798,7.761307
7.8785305,5.538805
1.2516195,5.9887047
5.114278,5.9662433
1.2022679,6.3163366
5.417481,4.370361
3.1644962,5.844095
3.491777,7.9206643
5.578297,5.283958
3.6875992,6.5902567
2.7883425,7.5001583
5.5458727,5.7085686
2.2057834,5.681543
4.1695185,5.1903167
5.2427416,4.250946
5.234727,6.070094
5.7443876,5.015191
2.6849487,7.4348283
4.517846,5.742196
4.035973,6.140281
2.7917697,7.1786556
2.1843235,5.5422134
4.199365,5.900043
5.300851,5.0082064
1.6323457,6.161693
2.6171465,6.5422645
2.508976,7.7362514
3.60274,7.7679543
5.974333,5.8434815
2.0917938,7.5487137
2.8062923,5.7069354
5.031627,5.47169
4.2359924,5.12434
2.1544964,6.948756
7.083836,5.539915
4.510083,5.9011006
5.1187387,5.3642244
1.9930837,6.560528
4.9127254,5.1351914
6.3465743,1.1182162
7.4377723,2.070489
6.598008,1.3073694
6.8378496,1.5758792
6.7175217,4.260389
6.6034546,4.0037446
6.945276,2.334353
7.1633406,2.3736541
5.8007884,2.4502912
8.299535,3.9171398
6.6244473,5.5249176
6.087722,4.5065126
6.3787675,2.0122602
7.0406547,3.914502
5.0791345,5.451599
6.553595,1.9994391
5.9027963,2.0565264
11.280179,5.3924
6.560657,4.607177
6.7265882,1.700876
6.9619317,3.1306493
6.625862,2.2939913
6.8073072,1.791984
6.5529776,1.265871
6.6874933,1.7093601
6.584137,1.2742612
6.1404753,1.523394
6.3345413,1.3859833
6.873381,3.653703
6.942817,2.2010593
6.1963725,1.7312557
6.4444985,1.9042958
6.6409383,1.5153413
6.706699,3.9221177
6.3706894,1.2228898
5.9721017,2.0753388
6.972883,1.5761249
6.0982804,1.5885353
